id,position,unit,value_xmin,value_xmax,value_a,value_b,value_k1,value_k2,section,subsection,chapter,table_name
1,"1.Нефтяные и газовые скважины глубиной: от 1000 до 2500, одноколонная конструкция (кондуктор, эксплуатационная колонна)",1м,1000,2500,1223,25,1,1,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-01- Нефтяные и газовые скважины"
2,"2.Нефтяные и газовые скважины глубиной: свыше 2500 до 4000, одноколонная конструкция (кондуктор, эксплуатационная колонна)",1м,2500,4000,1289,112,1,1,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-01- Нефтяные и газовые скважины"
3,"3.Нефтяные и газовые скважины глубиной: от 4000 до 5000, одноколонная конструкция (кондуктор, эксплуатационная колонна)",1м,4000,5000,1392,56,1,1,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-01- Нефтяные и газовые скважины"
4,"1.Сбор и транспорт нефти и газа с эксплуатационных скважин нефтяного месторождения (нефтепромысла) с числом скважин: от 5 до 20","1 скважина",5,20,1918,581,0.37,1.11,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
5,"2.Сбор и транспорт нефти и газа с эксплуатационных скважин нефтяного месторождения (нефтепромысла) с числом скважин: свыше 50 до 80","1 скважина",50,80,8974,293,0.37,1.11,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
6,"8.Дожимная нефтенасосная станция: без предварительного сброса пластовой воды производительностью, тыс. м3/сут: свыше 1200 до 1600","1 тыс. м3/сут",1200,1600,48314,100,0.37,1.11,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
8,"13.Резервуарный парк для нефти общей емкостью: от 1 до 10 тыс.м3","1 тыс.м3",1,10,3395,597,0.12,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
10,"21.Сепарационные установки производительностью: от 5 до 10 тыс. м3/сут","1 тыс. м3/сут",5,10,2663,250,0.19,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
11,"22.Сепарационные установки производительностью: от 10 до 20 тыс. м3/сут","1 тыс. м3/сут",10,20,4077,108,0.19,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
12,"29.Компрессорная станция для газлифтной добычи нефти и закачки в пласт газа высокого давления производительностью: от 50 до 500 тыс. нм3/сутки","1 тыс. нм3/сут",50,500,10452,21,0.27,1.12,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
13,"30.Компрессорная станция для газлифтной добычи нефти и закачки в пласт газа высокого давления производительностью: свыше 500 до 2000 тыс. нм3/сутки","1 тыс. нм3/сут",500,2000,11866,18,0.27,1.12,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
15,"37.Узел учета нефти производительностью: свыше 5 до 10 тыс. м3/сут","1 тыс. нм3/сут",5,10,1238,260,0.23,1.05,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
16,"38.Узел учета нефти производительностью: свыше 10 до 20 тыс. м3/сут","1 тыс. нм3/сут",10,20,2177,166,0.23,1.05,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
17,"39.Узел учета нефти производительностью: свыше 20 до 30 тыс. м3/сут","1 тыс. нм3/сут",20,30,4333,58,0.23,1.05,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
18,"1.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), без стабилизации нефти, производительностью по товарной нефти: от 1 до 3 млн. т/год","1 млн. т/год",1,3,78433,26688,0.33,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
19,"2.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), без стабилизации нефти, производительностью по товарной нефти: от 3 до 6 млн. т/год","1 млн. т/год",3,6,127852,10218,0.33,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
