id,chapter,cost,total,custom_name,estimate_id,name_of_price,position,section,subsection,table_name,value_a,value_b,value_k,value_p2,value_p3,value_p4,value_x,value_xmax,value_xmin,email,currenttime,value_r
59,NULL,393289,393289,"Бурение 8-и скважин м-я Ц.Урихтау",800,"Таблица 1701-0101-01- Нефтяные и газовые скважины , 2.Нефтяные и газовые скважины глубиной: свыше 2500 до 4000, одноколонная конструкция (кондуктор, эксплуатационная колонна)",NULL,NULL,NULL,NULL,1289,112,1,1,1,1,3500,4000,2500,ardak@gmail.com,"2022-5-3 15:8:34",NULL
60,NULL,7288.26,400577.26,"Выкидные линии и сточный коллектор до ГСП",800,"Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа , 1.Сбор и транспорт нефти и газа с эксплуатационных скважин нефтяного месторождения (нефтепромысла) с числом скважин: от 5 до 20",NULL,NULL,NULL,NULL,1918,581,1.11,1,1,1,8,20,5,ardak@gmail.com,"2022-5-3 15:9:32",NULL
61,NULL,5665.08,5665.08,"Расширение ДНС",800,"Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа , 8.Дожимная нефтенасосная станция: без предварительного сброса пластовой воды производительностью, тыс. м3/сут: свыше 1200 до 1600",NULL,NULL,NULL,NULL,1918,581,1.11,1,1.5,1,0.925,20,5,ardak@gmail.com,"2022/05/03 15:21:13",NULL
62,NULL,7296.51,555116.47,РВС-2000м3,800,"Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа , 13.Резервуарный парк для нефти общей емкостью: от 1 до 10 тыс.м3",NULL,NULL,NULL,NULL,3395,597,1.06,1,1.5,1,2,10,1,ardak@gmail.com,"2022-5-3 15:14:41",NULL
65,NULL,2046.47,2046.47,"Блок сепарации на ЗУ1",800,"Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа , 20.Сепарационные установки производительностью: от 0,5 до 5 тыс. м3/сут",NULL,NULL,NULL,NULL,1415,500,1.09,1,1,1,0.925,5,0.5,ardak@gmail.com,"2022/05/03 15:38:53",NULL
67,NULL,6955.66,27887.440000000002,"Факельная система ЗУ1",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 29.Факельная система, длина факельных трубопроводов: от 250 до 500 м",NULL,NULL,NULL,NULL,5987,4.09,1.01,1,1,1,200,500,250,ardak@gmail.com,"2022-5-3 15:41:43",NULL
68,NULL,6955.66,34843.100000000006,"Факельная система ГСП",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 29.Факельная система, длина факельных трубопроводов: от 250 до 500 м",NULL,NULL,NULL,NULL,5987,4.09,1.01,1,1,1,200,500,250,ardak@gmail.com,"2022-5-3 15:42:8",NULL
69,NULL,206686.36,241529.46,ГСП,800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 5.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), со стабилизацией нефти, производительностью по товарной нефти: от 1 до 3 млн. т/год",NULL,NULL,NULL,NULL,169714,22683,1.08,1,1,1,0.925,3,1,ardak@gmail.com,"2022-5-3 15:44:16",NULL
70,NULL,26826.12,268355.58,"КС1 на ЗУ1",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 22.Газокомпрессорная станция (КС), производительностью: свыше 500 до 850 тыс. нм3/сут",NULL,NULL,NULL,NULL,17414,11,1.08,1,1,1,675,850,500,ardak@gmail.com,"2022-5-3 15:47:58",NULL
71,NULL,26826.12,295181.7,"КС2 на ЗУ1",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 22.Газокомпрессорная станция (КС), производительностью: свыше 500 до 850 тыс. нм3/сут",NULL,NULL,NULL,NULL,17414,11,1.08,1,1,1,675,850,500,ardak@gmail.com,"2022-5-3 15:48:18",NULL
72,NULL,26826.12,322007.82,"КС3 на ЗУ1",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 22.Газокомпрессорная станция (КС), производительностью: свыше 500 до 850 тыс. нм3/сут",NULL,NULL,NULL,NULL,17414,11,1.08,1,1,1,675,850,500,ardak@gmail.com,"2022-5-3 15:48:25",NULL
73,NULL,26826.12,348833.94,"КС4 на ЗУ1",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 22.Газокомпрессорная станция (КС), производительностью: свыше 500 до 850 тыс. нм3/сут",NULL,NULL,NULL,NULL,17414,11,1.08,1,1,1,675,850,500,ardak@gmail.com,"2022-5-3 15:48:31",NULL
74,NULL,19576.08,368410.02,"Компрессор газов выветривания на ГСП",800,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды , 20.Газокомпрессорная станция (КС), производительностью: от 100 до 300 тыс. нм3/сут",NULL,NULL,NULL,NULL,11626,26,1.08,1,1,1,250,300,100,ardak@gmail.com,"2022-5-3 15:52:13",NULL
